run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
43,server,False,630583200,630.583,703215500,703.216,33,195074,7134203300,30661000,333277000,210312000,32161000,218000,515900,670700,1115000,3354000,3958000,27596000,637611000,27102000,3358000,137900
43,client,False,567307700,567.308,703213700,703.214,33,195074,7134203300,6305000,325918000,201684000,9998000,200300,148600,329400,898200,4772000,2011000,28113000,643770000,24036000,55200,338600
44,server,False,568774300,568.774,701545200,701.545,33,195074,7068136400,9912000,326173000,198372000,10390000,401300,444700,1337000,980800,3317000,1981000,28734000,641686000,22240000,3357000,141200
44,client,False,583853300,583.853,702096900,702.097,33,195074,7068136400,6158000,340632000,199737000,10148000,482600,411600,685700,1377000,3477000,2333000,28603000,649495000,17694000,46400,335600
45,server,False,585550000,585.550,729007700,729.008,33,195074,7113793500,11108000,330352000,208000000,10435000,253800,168400,347600,974400,3384000,2251000,30132000,641437000,45340000,6216000,137300
45,client,False,587323500,587.323,728994300,728.994,33,195074,7113793500,6145000,341115000,205822000,10488000,198900,525400,844500,2225000,3336000,2164000,30071000,685295000,7619000,48600,338700
46,server,False,577371700,577.372,685419100,685.419,33,195074,7047966200,5808000,324927000,214331000,10891000,221100,170800,366500,1039000,3514000,2788000,30738000,631292000,16037000,770000,160600
46,client,False,583496600,583.497,685600300,685.600,33,195074,7047966200,6051000,334550000,208206000,10165000,351200,232800,492400,1906000,4297000,2141000,30701000,646764000,1294000,67500,225100
47,server,False,570596500,570.596,683132100,683.132,33,195074,7028726200,5804000,326146000,206686000,10621000,253900,158900,431400,1025000,3507000,2040000,28358000,640965000,7968000,29400,170000
47,client,False,570968500,570.968,683552000,683.552,33,195074,7028726200,6370000,329201000,201988000,10128000,207500,186900,1787000,1221000,3490000,2624000,28103000,642243000,6717000,101600,159000
48,server,False,576777400,576.777,688084800,688.085,33,195074,7045361500,5796000,327344000,208782000,10759000,223000,306400,443400,958800,3466000,2058000,29327000,639563000,13259000,98700,180700
48,client,False,580681600,580.682,690063000,690.063,33,195074,7045361500,6143000,329912000,212714000,11256000,218000,157000,355200,898900,3473000,4011000,29165000,648276000,4727000,27400,273500
49,server,False,571122000,571.122,682235600,682.236,33,195074,7026801700,5897000,325542000,206480000,10970000,231700,178000,1919000,862600,3200000,3833000,29361000,638865000,6656000,39700,164600
49,client,False,569275800,569.276,680890600,680.891,33,195074,7026801700,6384000,328879000,204600000,10255000,209200,158100,317400,890000,3350000,2076000,29524000,641457000,4128000,13200,234900
50,server,False,579247000,579.247,703211300,703.211,33,195074,7064798000,6318000,328963000,209214000,11385000,345600,186700,427800,1312000,3525000,18098000,29202000,648721000,3222000,20000,324600
50,client,False,582735200,582.735,687002600,687.003,33,195074,7064798000,6160000,328877000,216126000,10314000,213800,181600,378500,1102000,3258000,2067000,29268000,648027000,3891000,224500,151200
51,server,False,620886500,620.886,685359300,685.359,33,195074,7107032400,27295000,327767000,211194000,32394000,249500,287800,352500,1092000,3454000,3269000,29610000,640865000,7691000,26300,334900
51,client,False,579295400,579.295,684486200,684.486,33,195074,7107032400,6552000,342792000,200195000,10127000,224600,147300,298800,940800,3445000,2343000,29881000,642382000,5971000,184800,158100
52,server,False,578665800,578.666,677584700,677.585,33,195074,7018919800,5840000,325732000,215040000,11078000,262700,175600,371500,1021000,3497000,2733000,29524000,638651000,2792000,22500,256300
52,client,False,563045500,563.045,676925100,676.925,33,195074,7018919800,6063000,327034000,200432000,10490000,201900,155200,307000,848700,3434000,2011000,29748000,631209000,9935000,263100,161200
53,server,False,578577700,578.578,679855800,679.856,33,195074,7046710300,5705000,331128000,210092000,10466000,217300,282000,452500,960600,3446000,2019000,29188000,642878000,1928000,30900,262400
53,client,False,582699700,582.700,680196800,680.197,33,195074,7046710300,6063000,336794000,205190000,10622000,387400,471200,845800,861300,3477000,2465000,29175000,633886000,10427000,418000,165100
54,server,False,566606600,566.607,687475500,687.476,33,195074,7040579300,6015000,323367000,205308000,10936000,202600,165800,349400,1058000,3434000,3565000,29585000,641018000,9488000,28000,241100
54,client,False,574734300,574.734,686297200,686.297,33,195074,7040579300,7175000,334544000,202473000,10228000,195400,156400,452700,1037000,3535000,2198000,29694000,648032000,2507000,31800,183800
55,server,False,580477400,580.477,703847700,703.848,33,195074,7091284800,10349000,327426000,207314000,10391000,329400,445600,664600,929700,3256000,1989000,28326000,643885000,25925000,47700,306300
55,client,False,592457400,592.457,703954600,703.955,33,195074,7091284800,6160000,324376000,227617000,10232000,352500,426000,658600,1178000,3270000,2493000,27820000,639016000,30498000,620300,137100
56,server,False,586874900,586.875,699389000,699.389,33,195074,7143858300,10565000,332967000,211471000,11715000,221900,160800,313600,963900,3358000,5873000,28479000,640255000,20945000,23400,362300
56,client,False,622376200,622.376,695934600,695.935,33,195074,7143858300,28690000,329982000,205140000,31822000,196200,162000,447400,1059000,3420000,2049000,28945000,638459000,16389000,6420000,137000
57,server,False,584501700,584.502,694842800,694.843,33,195074,7091366700,12354000,323957000,210594000,10236000,233200,477300,672600,950800,4234000,1941000,28956000,631658000,27543000,48700,361900
57,client,False,602109700,602.110,697023500,697.024,33,195074,7091366700,6250000,342312000,217997000,10060000,208200,1273000,756400,889400,3292000,5590000,28413000,642097000,14567000,2800000,150700
58,server,False,574401200,574.401,682625400,682.625,33,195074,7049595200,10072000,326013000,204710000,10254000,526600,396700,669200,945700,3418000,2056000,28318000,635152000,12431000,998300,150600
58,client,False,575723000,575.723,683303100,683.303,33,195074,7049595200,6259000,331902000,202557000,11327000,203500,161700,312500,947300,3384000,3053000,27775000,630223000,18366000,43100,352400
59,server,False,600704800,600.705,712382200,712.382,33,195074,7096481200,9672000,337604000,217779000,11865000,486900,413800,653500,971400,3337000,3065000,29225000,644435000,31836000,49100,314000
59,client,False,573425000,573.425,713197500,713.197,33,195074,7096481200,6210000,326589000,206070000,10082000,504400,1286000,754000,1273000,4790000,2122000,29430000,643845000,29819000,2937000,142500
60,server,False,585273600,585.274,683076600,683.077,33,195074,7066430200,10312000,328300000,213498000,10108000,251700,158800,337500,1138000,3083000,2119000,29334000,642188000,5872000,48400,323700
60,client,False,587043800,587.044,683916900,683.917,33,195074,7066430200,5848000,340929000,203503000,10314000,355400,520700,743000,936600,3313000,2905000,29224000,633818000,12946000,1478000,135200
61,server,False,596942100,596.942,726685700,726.686,33,195074,7129709700,9982000,333545000,217858000,11052000,436300,441000,747200,1085000,3081000,2575000,29637000,670796000,15867000,4478000,147500
61,client,False,589813400,589.813,726484800,726.485,33,195074,7129709700,5771000,332093000,216987000,10292000,403000,418400,656900,1151000,3281000,2033000,29778000,655127000,35750000,49300,350400
62,server,False,596311800,596.312,687910700,687.911,33,195074,7068625900,9337000,335164000,221165000,10141000,216400,225100,343000,1062000,3512000,3851000,28458000,627598000,24037000,220900,142800
62,client,False,570209200,570.209,686023400,686.023,33,195074,7068625900,5725000,328294000,204362000,9856000,375800,383500,697700,852100,3279000,1969000,28597000,644195000,7645000,16500,236800
63,server,False,595286800,595.287,716426800,716.427,33,195074,7105097700,10144000,330685000,215449000,11015000,472000,432800,650200,919700,3290000,5002000,28187000,652866000,26797000,30200,151800
63,client,False,584315600,584.316,714881600,714.882,33,195074,7105097700,6340000,331375000,211954000,10053000,391900,418500,698600,860800,4745000,2077000,28229000,653566000,25968000,18900,167900
64,server,False,578487200,578.487,693672900,693.673,33,195074,7070820700,9868000,328660000,208429000,10131000,556000,232700,740800,990900,3330000,2165000,28163000,643655000,15832000,45900,360800
64,client,False,589329900,589.330,694880300,694.880,33,195074,7070820700,6116000,343778000,208804000,10208000,201700,264600,506700,944300,3310000,3471000,28229000,623838000,30959000,4818000,150200
65,server,False,576862000,576.862,713554500,713.554,33,195074,7094128400,9147000,331270000,205408000,10412000,203800,191900,333300,1240000,4365000,4216000,28249000,646364000,26412000,3699000,139800
65,client,False,590477200,590.477,711851700,711.852,33,195074,7094128400,5610000,335301000,214092000,10436000,216700,148500,324900,1277000,4403000,2043000,28752000,648130000,28029000,46100,336900
66,server,False,590748300,590.748,714365000,714.365,33,195074,7119219900,10838000,328233000,215369000,10807000,208500,154600,318900,966800,3196000,1981000,28266000,660798000,19813000,13800,199400
66,client,False,597655500,597.655,717312900,717.313,33,195074,7119219900,6194000,339103000,215238000,10128000,198200,178800,295900,1412000,3201000,5379000,27904000,649552000,30832000,216500,142600
67,server,False,613172400,613.172,696438600,696.439,33,195074,7119567700,32510000,322720000,205824000,32403000,243600,172300,331900,1398000,3347000,3896000,27647000,636352000,24561000,376000,142000
67,client,False,578523500,578.524,695923000,695.923,33,195074,7119567700,6089000,327682000,208702000,10253000,273500,1296000,720700,2295000,4625000,2159000,27379000,630799000,30527000,25900,316500
68,server,False,623390500,623.390,701944200,701.944,33,195074,7125375100,9720000,328304000,253905000,10308000,299700,194300,443000,1118000,3365000,1919000,27601000,640466000,28089000,15900,387000
68,client,False,585920100,585.920,703853600,703.854,33,195074,7125375100,6229000,337835000,208054000,9995000,325500,438700,676300,876100,3431000,3958000,27709000,638185000,30151000,181500,132900
