run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
35,client,False,567938000,567.938,647658200,647.658,33,195074,7002362100,6472000,316646000,213129000,9850000,210500,153700,288800,911700,3240000,3312000,26902000,608045000,3828000,2084000,157500
36,server,False,599191200,599.191,748407300,748.407,33,195074,7151670500,6127000,337172000,216700000,11625000,627200,527900,832000,1391000,3469000,8571000,30833000,678937000,26171000,31600,242200
36,client,False,588336700,588.337,742483500,742.484,33,195074,7151670500,6248000,336243000,214509000,10813000,238100,174600,353100,881500,3554000,2156000,31058000,690666000,14099000,565100,211400
37,server,False,576393500,576.394,676658500,676.659,33,195074,7030058100,9128000,313491000,223960000,10091000,211000,154300,312300,917400,3112000,2158000,29769000,634390000,6779000,30300,317200
37,client,False,571132000,571.132,677582200,677.582,33,195074,7030058100,6408000,320030000,214339000,10540000,198100,162500,310000,855700,3150000,3169000,29885000,617450000,23389000,242200,185500
38,server,False,583601200,583.601,670615300,670.615,33,195074,7034683800,9529000,319580000,218150000,10271000,221700,454100,684200,1067000,3459000,2044000,29410000,613783000,21485000,17500,316000
38,client,False,570681300,570.681,670800000,670.800,33,195074,7034683800,5700000,313461000,217229000,9815000,200300,152400,299200,1039000,3437000,2304000,29285000,617612000,17185000,722000,132500
39,server,False,575779600,575.780,669201700,669.202,33,195074,7025934400,10734000,314334000,220171000,10266000,438400,207500,350400,1138000,3123000,1920000,27612000,621226000,13232000,1852000,139400
39,client,False,566296200,566.296,671433600,671.434,33,195074,7025934400,6065000,320552000,209771000,10162000,196100,148100,295100,1022000,3227000,4300000,27243000,618420000,17800000,50100,280600
40,server,False,577450400,577.450,660636400,660.636,33,195074,7050849300,9094000,317961000,217082000,10382000,247800,175100,339800,1253000,3314000,5998000,26546000,611831000,12494000,214600,132200
40,client,False,590354800,590.355,657116900,657.117,33,195074,7050849300,5959000,333362000,216212000,11467000,247800,168000,448600,1067000,3231000,1911000,26900000,606165000,18410000,16100,392500
41,server,False,586153600,586.154,665552900,665.553,33,195074,7034061500,9460000,321868000,223722000,11514000,230400,165400,347300,888300,3441000,3446000,27232000,608949000,22197000,23100,168500
41,client,False,567169900,567.170,664278700,664.279,33,195074,7034061500,6260000,319292000,208270000,10418000,204500,162000,291900,1100000,3469000,2063000,27273000,616253000,14923000,22100,168300
42,server,False,581402900,581.403,694048800,694.049,33,195074,7050779800,9684000,313378000,224897000,10257000,224700,168700,344500,924200,3090000,6449000,27447000,623927000,32662000,36000,323100
42,client,False,562597800,562.598,690179700,690.180,33,195074,7050779800,6183000,315857000,207423000,9913000,217200,144500,291400,886600,3428000,2026000,27567000,627413000,25123000,4376000,135600
43,server,False,575494500,575.495,681831700,681.832,33,195074,7041173600,9236000,325599000,210519000,9984000,245000,176200,334500,910600,3234000,1900000,27904000,615276000,33022000,46200,336600
43,client,False,568670400,568.670,682809500,682.809,33,195074,7041173600,6163000,324470000,206232000,9768000,201000,168900,315300,880300,3317000,3217000,27401000,627063000,18651000,2910000,139900
44,server,False,572476300,572.476,662015000,662.015,33,195074,7008419400,9571000,309364000,220056000,10745000,379700,179100,329100,929100,3441000,3054000,28675000,607815000,18436000,21500,474700
44,client,False,568292800,568.293,661028200,661.028,33,195074,7008419400,5664000,314267000,215195000,9991000,198100,389400,674300,950400,3509000,2005000,28605000,605098000,21184000,209400,313400
45,server,False,583755600,583.756,681065000,681.065,33,195074,7059556700,9400000,315991000,220771000,11809000,220900,168100,348700,1985000,3166000,4636000,26709000,620815000,25265000,53100,309200
45,client,False,584739700,584.740,678867700,678.868,33,195074,7059556700,5818000,311365000,233957000,10014000,373100,433100,645600,1068000,3238000,2011000,27014000,618200000,26433000,1731000,134300
